frequency,callsign,city,state,power,lat,lon,height,slogan,owner,format,mlb,nfl,nba,nhl,market,rank,npr
88.1,WSMF,MONROE,MI,1.2,41.91891666666666,83.37602777777776,39.0,SMILE FM,NORTHLAND COMMUNITY BROADCASTERS,Contemporary Christian,,,,,Detroit,13.0,False
99.1,WSMK,BUCHANAN,MI,6.0,41.82319444444445,86.28405555555555,99.0,SMOKIN' 99.1,,Rhythmic CHR,,,,,,,False
91.9,WSMO,MOUNT FOREST,MI,6.0,43.70444444444445,84.01027777777777,92.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,Saginaw-Bay City-Midland,152.0,False
88.3,WSMZ-FM,CRYSTAL VALLEY,MI,1.5,43.67611111111111,86.23897222222222,135.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,,,False
103.7,WSNH-LP,GRAND RAPIDS,MI,0.1,42.91561111111111,85.74438888888889,41.0,,IGLESIA SANANDO LAS NACIONES,Religious,,,,,Grand Rapids,68.0,False
104.5,WSNX-FM,MUSKEGON,MI,32.0,43.20447222222222,86.02922222222222,186.0,WSNX 104.5,iHeartMedia,Contemporary Hit Radio,,,,,Muskegon,225.0,False
89.7,WSPB,BEDFORD,MI,4.5,42.45752777777778,85.24805555555555,64.0,CATHOLIC RADIO,"HOLY FAMILY RADIO, INC.",Religious Teaching,,,,,,,False
105.5,WSRJ,HONOR,MI,17.0,44.66138888888889,85.81480555555555,99.0,THE PROMISE FM,"Northern Christian Radio, Inc.",Contemporary Christian,,,,,Traverse City-Petoskey-Cadillac,178.0,False
106.7,WSRT,GAYLORD,MI,100.0,45.180277777777775,85.09722222222221,169.0,STAR COUNTRY 106.7,"MACDONALD GARBER BROADCASTING, INC.",Country,,,,,Traverse City-Petoskey-Cadillac,178.0,False
105.7,WSRW-FM,GRAND RAPIDS,MI,265.0,42.65486111111111,85.52722222222222,182.9,STAR 105.7,iHeartMedia,Adult Contemporary,,,,,Grand Rapids,68.0,False
101.3,WSUE,SAULT STE. MARIE,MI,100.0,46.43780555555555,84.3783611111111,52.0,ROCK 101,"SOVEREIGN COMMUNICATIONS, LLC",Rock,,,,,,,False
89.7,WTAC,BURTON,MI,15.0,42.748916666666666,83.71633333333334,50.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,Detroit,13.0,False
90.9,WTCK,CHARLEVOIX,MI,5.5,45.501444444444445,85.03025,164.6,RELEVANT RADIO,"RELEVANT RADIO, INC.",Religious Teaching,,,,,Traverse City-Petoskey-Cadillac,178.0,False
103.5,WTCM-FM,TRAVERSE CITY,MI,100.0,44.45861111111111,85.70063888888889,291.0,,"WTCM Radio, Inc.",Country,,,,,Traverse City-Petoskey-Cadillac,178.0,False
88.3,WTCY,GREILICKVILLE,MI,4.4,44.96638888888889,85.77452777777778,126.5,RELEVANT RADIO,"RELEVANT RADIO, INC.",Religious Teaching,,,,,Traverse City-Petoskey-Cadillac,178.0,False
97.7,WTGV-FM,SANDUSKY,MI,3.0,43.39244444444444,82.83483333333332,99.0,GREATEST HITS OF THE 60`S 70`S & 80`S,SANILAC BROADCASTING COMPANY,Classic Hits,Tigers,Lions,,,,,False
102.3,WTHN,SAULT STE. MARIE,MI,6.1,46.48558333333333,84.23030555555556,57.0,THE PROMISE FM,NORTHERN CHRISTIAN RADIO,Contemporary Christian,,,,,,,False
89.9,WTHS,HOLLAND,MI,1.0,42.78780555555555,86.10058333333333,59.0,THE VOICE OF HOPE COLLEGE,HOPE COLLEGE,Adult Alternative,,,,,Grand Rapids,68.0,False
89.3,WTLI,BEAR CREEK TOWNSHIP,MI,50.0,45.169999999999995,84.75113888888889,172.0,SMILE FM MICHIGAN'S POSITIVE HITS,SMILE FM,Contemporary Christian,,,,,Traverse City-Petoskey-Cadillac,178.0,False
107.1,WTLZ,SAGINAW,MI,5.0,43.352444444444444,83.91672222222223,114.0,KISS 107.1,Alpha Media Licensee LLC,Hip Hop,,,,,Saginaw-Bay City-Midland,152.0,False
